ID,Name,Description,Category,MaxCount,PrefabAddress
MATERIAL_001,늑대 가죽,잿빛 숲 늑대의 질긴 가죽. 쓸모가 많아 보인다,일반,999,WolfPelt
MATERIAL_002,뼛조각,언데드에게서 떨어져 나온 뼛조각. 마력이 희미하게 느껴진다,일반,999,BoneFragment
MATERIAL_003,낡은 병사의 인식표,죽어서도 임무를 잊지 못한 병사의 유품,퀘스트,999,OldSoldiersDogTag
MATERIAL_004,정체불명의 광석,제련하면 좋은 금속을 얻을 수 있을 것 같은 광석,일반,999,MysteriousOre
MATERIAL_005,요정의 가루,반짝이는 요정의 가루. 신비한 힘을 담고 있다,고급,999,FairyDust
MATERIAL_006,마력이 담긴 나뭇잎,세계수의 기운을 머금은 나뭇잎,고급,999,ManaInfusedLeaf
MATERIAL_007,질긴 뿌리,웬만한 힘으로는 끊기 힘든 질긴 식물의 뿌리,일반,999,ToughRoot
MATERIAL_008,오래된 동전,어느 왕국의 것인지 알 수 없는 오래된 동전,퀘스트,999,OldCoin
MATERIAL_009,단단한 발톱,맹수의 단단한 발톱. 무기로 가공할 수 있을 듯하다,일반,999,HardClaw
MATERIAL_010,반짝이는 비늘,물고기의 비늘이라고 하기엔 너무나도 아름답다,일반,999,ShimmeringScale
MATERIAL_011,독 주머니,맹독을 품고 있는 생물의 주머니. 취급에 주의해야 한다,일반,999,PoisonSac
MATERIAL_012,부드러운 털뭉치,작은 동물의 부드러운 털. 보기만 해도 기분이 좋아진다,일반,999,SoftFur
MATERIAL_013,고대 유물의 파편,고대 문명의 유물에서 떨어져 나온 파편,퀘스트,999,AncientArtifactFragment
MATERIAL_014,용의 비늘,전설 속 용의 비늘. 세상에서 가장 단단한 물질 중 하나다,고급,999,DragonScale
MATERIAL_015,용의 심장,용의 힘의 근원. 엄청난 마력을 내뿜고 있다,고급,999,DragonHeart
MATERIAL_016,마나석,순수한 마력의 결정체. 마법사들이 선호한다,고급,999,ManaStone
MATERIAL_017,저주받은 뼛가루,강력한 저주가 깃든 뼛가루,일반,999,CursedBonePowder
MATERIAL_018,성수,신성한 기운이 담긴 물. 언데드에게 특히 효과적이다,고급,999,HolyWater
MATERIAL_019,키메라의 가죽,여러 동물의 특징이 섞인 키메라의 가죽,고급,999,ChimeraLeather
MATERIAL_020,키메라의 발톱,키메라의 날카로운 발톱,고급,999,ChimeraClaw
MATERIAL_021,키메라의 심장,여러 마력을 품고 있는 키메라의 심장,퀘스트,999,ChimeraHeart
MATERIAL_022,정령의 눈물,정령이 흘린 눈물. 순수한 자연의 힘이 느껴진다,고급,999,SpiritTear
MATERIAL_023,고블린의 귀,고블린을 잡았다는 증표,일반,999,GoblinEar
MATERIAL_024,오크의 송곳니,오크의 강인함을 상징하는 송곳니,일반,999,OrcTusk
MATERIAL_025,트롤의 피,엄청난 재생력을 가진 트롤의 피,고급,999,TrollBlood
