KEY,ko-KR,en
UI_BUTTON_CONFIRM,"확인","Confirm"
UI_TITLE_INVENTORY,"가방","Inventory"
WEAPON_NAME_001,"낡은 단검","Old Dagger"
WEAPON_DESC_001,"어디서나 볼 수 있는 평범한 단검. 호신용으로나 쓸만하다.","A common dagger that can be found anywhere. Only useful for self-defense."
COMPANION_NAME_LION,"리온","Lion"
COMPANION_SPEC_DESC_LION,"용기사 가문 온두리스의 차기 가주. 잃어버린 가문의 명예를 되찾기 위해 제국을 여행하고 있다.","The next heir of the Onduris Dragon Knight family. He travels the empire to restore his family's lost honor."
WEAPON_DESC_002,"과거 투기장에서 노예들이 사용하던 날이 무딘 단검. 절박함이 묻어난다.","(Monster) A dull dagger formerly used by slaves in the arena. It reeks of desperation."
WEAPON_DESC_003,"[가렛 전용] 가렛이 정보상 일을 시작했을 때부터 사용한 평범한 나이프. 손에 익어 사용하기 편하다.","[Garett Exclusive] A plain knife Garett has used since he began his work as an information broker. It's comfortable in his hand."
WEAPON_DESC_004,"정보상 가렛이 속한 그림자 상회의 하급 조직원들이 사용하는 단검. 평범해 보이지만 무게중심이 잘 잡혀있다.","A dagger used by low-ranking members of the Shadow Merchants a guild Garett belongs to. It looks plain but it's well-balanced."
WEAPON_DESC_005,"[가렛 전용] 그림자 상회에서 거래를 성사시킬 때 증표로 사용하는 단검. 칼날이 매우 날카롭다.","[Garett Exclusive] A dagger used as a symbol when closing deals within the Shadow Merchants. Its blade is exceptionally sharp."
WEAPON_DESC_006,"(몬스터) 알케미아 지하의 독침 거미 어금니로 만든 단검. 약한 맹독을 품고 있다.","(Monster) A dagger made from the fang of a Venom-Stinger Spider from the Alchemian underground. It holds a weak venom."
WEAPON_DESC_007,"[가렛 전용] 소리 없이 적의 등 뒤를 노리는 암살자를 위한 단검. 치명타 공격 시 일정 확률로 적을 침묵 상태로 만든다.","[Garett Exclusive] A dagger for an assassin who stalks their enemies' backs without a sound. On a critical hit it has a chance to silence the enemy."
WEAPON_DESC_008,"(몬스터) 드래곤스파인 산맥의 와이번 심장에서 나온 '용의 이빨'로 만든 궁극의 단검. 모든 방어구를 꿰뚫는다 전해진다.","(Monster) The ultimate dagger crafted from a 'dragon tooth' found in a Wyvern's heart in the Dragonspine Mountains. It is said to pierce any armor."
WEAPON_DESC_009,"[가렛 전용] 그림자 상회의 마스터만이 소유할 수 있다는 전설적인 단검. 이 단검으로 맺은 계약은 절대 깨뜨릴 수 없다.","[Garett Exclusive] A legendary dagger said to be wielded only by the master of the Shadow Merchants. A contract sealed with this shiv can never be broken."
WEAPON_DESC_010,"숲에서 나무를 베거나 짐승을 사냥할 때 사용하는 실용적인 도끼.","A practical axe used for cutting trees or hunting beasts in the forest."
WEAPON_DESC_011,"북벽 너머 야만 부족이 사용하는 조잡한 도끼. 동물의 뼈와 돌을 엮어 만들었다.","A crude axe used by the barbarian tribes beyond the North Wall. Made by weaving together animal bones and stone."
WEAPON_DESC_012,"드래곤스파인 산맥의 광부들이 사용하는 단단한 곡괭이. 무기로도 쓸만하다.","A sturdy pickaxe used by miners in the Dragonspine Mountains. It can also serve as a weapon."
WEAPON_DESC_013,"드래곤스파인 산맥의 드워프 대장장이가 제련한 무거운 강철 도끼. 바위도 쪼갤 기세다.","A heavy steel axe forged by a dwarven blacksmith in the Dragonspine Mountains. It looks like it could split boulders."
WEAPON_DESC_014,"포르투나의 악명 높은 해적이 사용하던 처형용 도끼. 칼날에 핏자국이 선명하다.","An executioner's axe used by a notorious pirate of Fortuna. Bloodstains are still visible on the blade."
WEAPON_DESC_015,"혹한의 땅에서 살아가는 광전사들이 사용하는 쌍날 도끼. 휘두를수록 공격 속도가 빨라진다.","A twin-bladed axe used by berserkers of the frigid lands. The more you swing it the faster your attack speed becomes."
WEAPON_DESC_016,"강경파 용기사 가문 온두리스의 전사들이 사용하는 전투도끼. 용의 비늘도 쪼갤 수 있다고 한다.","A battle axe used by warriors of the hard-line Onduris Dragon Knight family. It is said to be able to split dragon scales."
